Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,25.0,92.0,-1.6127450980392155,-0.12745098039215688,0.03676470588235294
EMG1_mean,41.0,79.0,-1.6225490196078431,-0.6029411764705882,0.09361009361009362
EMG2_mean,25.0,82.0,-1.7058823529411764,-0.5833333333333334,0.049945265462506834
EMG3_mean,5.0,113.0,-2.480392156862745,0.5882352941176471,0.008009319935925439
EMG4_mean,22.0,67.0,-2.2990196078431375,-0.9166666666666667,0.0733264320220842
EMG5_mean,0.0,97.0,-6.911764705882355,0.18137254901960786,0.01336248785228377
EMG6_mean,6.0,115.0,-4.328431372549019,1.0049019607843137,0.0075757575757575725
EMG7_mean,14.0,120.0,-2.1715686274509802,0.7941176470588235,0.008900756564307968
Accl0_mean,60.0,98.0,0.7129074215686275,0.7579919950980392,0.09361009361009362
Accl1_mean,63.0,80.0,-0.39001460294117657,-0.36676863235294116,0.24911816578483242
Accl2_mean,29.0,99.0,0.5428227549019607,0.5959592745098038,0.03353454057679409
Gyr0_mean,95.0,118.0,1.132046568627451,1.904105392156863,0.17691798941798942
Gyr1_mean,20.0,59.0,-3.2619485294117645,-1.7665441176470587,0.09027777777777778
Gyr2_mean,19.0,84.0,-1.4129901960784315,-0.0392156862745098,0.03908128908128908
Orien0_mean,57.0,72.0,71.93627450980392,72.93627450980392,0.28521825396825395
Orien1_mean,34.0,69.0,40.529411764705884,44.17156862745098,0.10471781305114637
Orien2_mean,70.0,77.0,151.5049019607843,153.73529411764704,0.6101190476190477
EMG0_min,124.0,129.0,-10.25,-6.75,0.8267195767195767
EMG1_min,112.0,130.0,-14.0,-5.25,0.23391812865497075
EMG2_min,55.0,121.0,-26.0,-10.75,0.03790570954750059
EMG3_min,4.0,113.0,-57.25,-12.75,0.0075757575757575725
EMG4_min,38.0,101.0,-37.0,-19.0,0.04154265873015873
EMG5_min,57.0,83.0,-45.25,-32.0,0.15285126396237508
EMG6_min,73.0,127.0,-27.25,-11.0,0.054834054834054825
EMG7_min,83.0,124.0,-15.0,-8.75,0.08408919123204837
Accl0_min,29.0,63.0,0.56713875,0.61779825,0.108843537414966
Accl1_min,48.0,83.0,-0.5216065,-0.45812975,0.10471781305114637
Accl2_min,35.0,110.0,0.45910675,0.5457762500000001,0.028717627401837927
Gyr0_min,67.0,120.0,-6.75,-2.734375,0.056584362139917695
Gyr1_min,14.0,50.0,-48.640625,-33.3125,0.10081510081510081
Gyr2_min,36.0,75.0,-26.828125,-16.15625,0.09027777777777778
Orien0_min,35.0,74.0,71.0,72.0,0.09027777777777778
Orien1_min,32.0,81.0,38.0,42.25,0.06428571428571428
Orien2_min,71.0,79.0,151.0,152.0,0.5379188712522045
EMG0_max,0.0,14.0,3.75,11.25,0.30687830687830686
EMG1_max,0.0,21.0,5.0,11.0,0.19660894660894662
EMG2_max,5.0,36.0,7.75,14.25,0.12276785714285714
EMG3_max,44.0,107.0,14.0,31.25,0.04154265873015873
EMG4_max,21.0,95.0,17.0,36.0,0.029629629629629624
EMG5_max,25.0,65.0,20.75,44.0,0.08710801393728224
EMG6_max,11.0,59.0,16.0,30.0,0.06640751538710722
EMG7_max,7.0,49.0,8.0,17.25,0.0812107788851975
Accl0_max,26.0,88.0,0.7543949999999999,0.81543,0.04283194759385236
Accl1_max,48.0,70.0,-0.351074,-0.316284,0.1863354037267081
Accl2_max,86.0,103.0,0.6927490000000001,0.7586665,0.24911816578483242
Gyr0_max,49.0,115.0,13.859375,32.484375,0.03790570954750059
Gyr1_max,7.0,70.0,4.34375,15.59375,0.04154265873015873
Gyr2_max,52.0,99.0,9.296875,20.953125,0.06861772486772487
Orien0_max,44.0,86.0,72.0,74.0,0.0812107788851975
Orien1_max,62.0,91.0,48.0,50.0,0.13359788359788358
Orien2_max,70.0,103.0,152.5,156.25,0.11321195144724557
EMG0_stdev,0.0,8.0,2.4479814972459066,3.8402279677080724,0.5379188712522045
EMG1_stdev,1.0,9.0,2.7166237958033523,3.9280215105831444,0.5379188712522045
EMG2_stdev,7.0,22.0,3.780470460028413,5.377567080314913,0.28521825396825395
EMG3_stdev,25.0,104.0,5.446595819021518,11.596877822994184,0.025297619047619048
EMG4_stdev,28.0,77.0,7.379675550551355,11.878317255599761,0.06428571428571428
EMG5_stdev,39.0,61.0,11.388514853409621,16.18757440032904,0.1863354037267081
EMG6_stdev,18.0,67.0,7.012970196207977,12.33254388189356,0.06428571428571428
EMG7_stdev,5.0,56.0,3.711935955158097,7.209933122971745,0.06028693528693529
Accl0_stdev,82.0,109.0,0.03242790297516542,0.047355500931529466,0.1459750566893424
Accl1_stdev,65.0,105.0,0.025147469454632965,0.042746471443898044,0.08710801393728224
Accl2_stdev,70.0,112.0,0.0312723772320493,0.04600779018880786,0.0812107788851975
Gyr0_stdev,58.0,105.0,3.7023442445067265,6.671346510993702,0.06861772486772487
Gyr1_stdev,51.0,110.0,7.219832287146502,12.54597675293189,0.046957671957671955
Gyr2_stdev,57.0,99.0,4.497618110730667,7.328283776023388,0.0812107788851975
Orien0_stdev,24.0,109.0,0.2376354103144016,0.6103669255570423,0.020764119601328904
Orien1_stdev,96.0,123.0,2.3274493003536314,3.3216123335923595,0.1459750566893424
Orien2_stdev,44.0,110.0,0.4565304702211408,0.9324167856365315,0.03790570954750059
EMG0_energy,0.0,7.0,302.0,780.25,0.6101190476190477
EMG1_energy,1.0,9.0,391.75,830.0,0.5379188712522045
EMG2_energy,7.0,22.0,749.5,1568.5,0.28521825396825395
EMG3_energy,22.0,105.0,1493.5,7039.0,0.022203325774754343
EMG4_energy,30.0,76.0,2950.0,7136.75,0.07092198581560283
EMG5_energy,39.0,66.0,6636.25,15140.0,0.1459750566893424
EMG6_energy,17.0,70.0,2462.5,8608.25,0.056584362139917695
EMG7_energy,6.0,56.0,738.75,2634.25,0.06224712107065049
Accl0_energy,60.0,100.0,25.9898069486015,29.407026207436505,0.08710801393728224
Accl1_energy,53.0,67.0,6.954159200549752,7.79204545593225,0.30687830687830686
Accl2_energy,29.0,99.0,15.139038569931248,18.18653495484275,0.03353454057679409
Gyr0_energy,63.0,105.0,777.9931640625,2309.9677734375,0.0812107788851975
Gyr1_energy,51.0,109.0,2777.8173828125,8384.75390625,0.048426150121065374
Gyr2_energy,55.0,99.0,1004.0478515625,2751.697265625,0.07583774250440917
Orien0_energy,57.0,72.0,263921.75,271314.25,0.28521825396825395
