Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,28.0,84.0,-1.3480392156862744,-0.25980392156862747,0.05180273518441774
EMG1_mean,65.0,90.0,-0.8676470588235294,-0.27450980392156865,0.16050878255602663
EMG2_mean,25.0,94.0,-3.372549019607843,0.31862745098039214,0.03487064116985377
EMG3_mean,11.0,64.0,-3.338235294117647,-0.5490196078431373,0.0568678915135608
EMG4_mean,3.0,85.0,-2.75,-0.1176470588235294,0.02324257660563514
EMG5_mean,8.0,125.0,-2.936274509803922,2.323529411764706,0.004671026291205126
EMG6_mean,29.0,102.0,-1.8578431372549022,0.4852941176470589,0.030857629282826135
EMG7_mean,53.0,108.0,-0.9485294117647058,0.44362745098039225,0.05343082114735659
Accl0_mean,32.0,64.0,0.6338584117647061,0.6519966666666668,0.11811023622047244
Accl1_mean,7.0,46.0,-0.6535812107843139,-0.6326018382352941,0.09055118110236221
Accl2_mean,2.0,16.0,0.43007046078431366,0.4390055343137254,0.30708661417322836
Gyr0_mean,14.0,69.0,-0.35814950980392163,0.5021446078431373,0.05343082114735659
Gyr1_mean,60.0,112.0,-1.1035539215686274,-0.2650122549019608,0.05868370227306492
Gyr2_mean,74.0,105.0,-1.1283700980392157,-0.8020833333333334,0.12303149606299213
Orien0_mean,3.0,11.0,61.19117647058823,61.85294117647059,0.5380577427821522
Orien1_mean,64.0,96.0,49.28431372549019,50.48039215686275,0.11811023622047244
Orien2_mean,46.0,68.0,146.0098039215686,147.86764705882356,0.18657993837726805
EMG0_min,37.0,128.0,-31.0,-7.0,0.017117425539198903
EMG1_min,72.0,118.0,-23.0,-11.0,0.07120120623219969
EMG2_min,56.0,99.0,-77.0,-40.0,0.07874015748031496
EMG3_min,13.0,99.0,-93.0,-25.75,0.020363833831115938
EMG4_min,41.0,106.0,-27.0,-16.0,0.03937007874015748
EMG5_min,0.0,54.0,-101.25,-33.0,0.05511811023622047
EMG6_min,44.0,114.0,-45.0,-16.0,0.03382499722745924
EMG7_min,66.0,121.0,-24.0,-11.75,0.05343082114735659
Accl0_min,28.0,92.0,0.5303957499999999,0.60192825,0.040581465778316166
Accl1_min,29.0,65.0,-0.7513427500000001,-0.71960475,0.10108533730580975
Accl2_min,15.0,34.0,0.39709475,0.40917950000000003,0.2204724409448819
Gyr0_min,13.0,76.0,-20.421875,-8.5,0.041830708661417325
Gyr1_min,77.0,112.0,-11.3125,-7.5625,0.10498687664041993
Gyr2_min,22.0,123.0,-22.734375,-7.5,0.011579434923575731
Orien0_min,4.0,8.0,61.0,61.0,1.0
Orien1_min,59.0,108.0,48.0,50.0,0.06456692913385827
Orien2_min,46.0,65.0,145.75,147.0,0.2204724409448819
EMG0_max,5.0,25.0,6.0,14.0,0.20809898762654666
EMG1_max,10.0,73.0,8.75,24.0,0.041830708661417325
EMG2_max,27.0,64.0,35.0,56.25,0.09738914214670534
EMG3_max,41.0,104.0,26.0,65.0,0.041830708661417325
EMG4_max,0.0,98.0,6.75,22.0,0.013123359580052495
EMG5_max,44.0,109.0,25.0,55.25,0.03937007874015748
EMG6_max,24.0,73.0,18.0,36.25,0.06456692913385827
EMG7_max,10.0,52.0,11.0,20.0,0.08148690715986083
Accl0_max,30.0,56.0,0.6629639999999999,0.678833,0.15310586176727908
Accl1_max,6.0,36.0,-0.60986325,-0.58557175,0.12827025654051308
Accl2_max,0.0,89.0,0.4755857500000001,0.54907225,0.018372703412073487
Gyr0_max,14.0,83.0,8.640625,13.703125,0.03487064116985377
Gyr1_max,61.0,121.0,5.046875,10.421875,0.04582419000903576
Gyr2_max,62.0,110.0,3.859375,9.171875,0.0666880925598586
Orien0_max,3.0,46.0,62.0,63.0,0.07874015748031496
Orien1_max,45.0,68.0,52.0,53.0,0.17716535433070865
Orien2_max,46.0,58.0,147.0,148.0,0.3603876438522108
EMG0_stdev,4.0,25.0,2.6008769272412264,5.231162890861409,0.1968503937007874
EMG1_stdev,12.0,66.0,4.2957586126154474,8.140509575370324,0.05511811023622047
EMG2_stdev,25.0,74.0,13.26423998271742,26.299590759473016,0.06456692913385827
EMG3_stdev,47.0,88.0,12.970815042499305,20.893989868093534,0.0843644544431946
EMG4_stdev,6.0,85.0,5.4618097332731645,8.822000052684276,0.025590551181102362
EMG5_stdev,63.0,129.0,12.375908753846097,25.12552661064022,0.03819485250910799
EMG6_stdev,24.0,76.0,8.166989258761625,15.496732161230007,0.05868370227306492
EMG7_stdev,11.0,39.0,5.442820632498741,7.109766726507667,0.13983165897366276
Accl0_stdev,12.0,94.0,0.013836486398231266,0.03056177450084588,0.02324257660563514
Accl1_stdev,14.0,42.0,0.01934347989127521,0.02369339637603711,0.13983165897366276
Accl2_stdev,28.0,98.0,0.014475670668453303,0.026134211215923513,0.03382499722745924
Gyr0_stdev,28.0,102.0,3.18192156543688,5.509732358992192,0.02992125984251969
Gyr1_stdev,14.0,75.0,2.1238366831308912,3.719507972867104,0.0444500889001778
Gyr2_stdev,16.0,96.0,2.2921003912121907,5.0005458726653345,0.024788568095654714
Orien0_stdev,67.0,88.0,0.4009791936316523,0.4840534375215445,0.1968503937007874
Orien1_stdev,16.0,65.0,0.8782739868541256,1.6290255996790595,0.06456692913385827
Orien2_stdev,9.0,64.0,0.10502100630210083,0.38501336875184905,0.05343082114735659
EMG0_energy,2.0,25.0,371.5,1414.25,0.17716535433070865
EMG1_energy,10.0,62.0,943.25,3319.5,0.05868370227306492
EMG2_energy,25.0,71.0,8816.5,34843.0,0.07120120623219969
EMG3_energy,47.0,89.0,8653.0,22373.25,0.08148690715986083
EMG4_energy,10.0,89.0,1642.25,4258.5,0.025590551181102362
EMG5_energy,61.0,128.0,7665.5,31881.0,0.03705419175544233
