Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,26.0,114.0,-1.2598039215686274,0.3529411764705882,0.018726591760299626
EMG1_mean,9.0,108.0,-2.4656862745098045,0.19607843137254904,0.0123015873015873
EMG2_mean,63.0,123.0,-1.0049019607843137,1.2941176470588236,0.04553734061930783
EMG3_mean,43.0,129.0,-0.9215686274509804,0.5882352941176471,0.020069330414158
EMG4_mean,29.0,120.0,-1.2156862745098038,0.09803921568627452,0.01682194616977226
EMG5_mean,23.0,120.0,-1.6078431372549018,0.9264705882352942,0.01336248785228377
EMG6_mean,8.0,125.0,-4.769607843137256,3.730392156862745,0.004371805219262845
EMG7_mean,12.0,129.0,-2.1299019607843137,3.848039215686274,0.004371805219262845
Accl0_mean,28.0,107.0,0.6842065294117646,0.8476681715686273,0.025297619047619048
Accl1_mean,17.0,98.0,-0.6768536274509803,-0.44033760294117635,0.023712737127371278
Accl2_mean,26.0,35.0,0.28470629901960787,0.29711440196078426,0.4801587301587302
Gyr0_mean,0.0,118.0,-3.5726102941176467,1.8984374999999998,0.004001600640256103
Gyr1_mean,13.0,100.0,-2.1058517156862746,0.5413602941176471,0.019390331890331892
Gyr2_mean,22.0,76.0,-3.0989583333333335,-0.923406862745098,0.054834054834054825
Orien0_mean,8.0,71.0,56.0,61.22549019607844,0.04154265873015873
Orien1_mean,26.0,101.0,31.436274509803916,46.52941176470588,0.028717627401837927
Orien2_mean,22.0,50.0,37.862745098039206,43.730392156862735,0.13957307060755336
EMG0_min,40.0,113.0,-22.0,-7.0,0.030566280566280562
EMG1_min,25.0,54.0,-48.0,-29.75,0.13359788359788358
EMG2_min,54.0,113.0,-27.0,-8.0,0.046957671957671955
EMG3_min,22.0,88.0,-16.0,-8.0,0.03790570954750059
EMG4_min,3.0,100.0,-33.75,-9.0,0.01336248785228377
EMG5_min,9.0,70.0,-55.25,-25.0,0.044162826420890935
EMG6_min,8.0,55.0,-109.5,-50.75,0.06861772486772487
EMG7_min,3.0,50.0,-67.25,-24.0,0.06861772486772487
Accl0_min,25.0,115.0,0.5560305,0.80578625,0.01744287458573173
Accl1_min,17.0,105.0,-0.8184815,-0.50170875,0.018726591760299626
Accl2_min,10.0,36.0,0.136353,0.22583,0.15285126396237508
Gyr0_min,20.0,82.0,-18.46875,-7.484375,0.04283194759385236
Gyr1_min,18.0,41.0,-32.609375,-21.0,0.17691798941798942
Gyr2_min,15.0,54.0,-48.515625,-26.6875,0.09027777777777778
Orien0_min,9.0,70.0,55.0,60.0,0.044162826420890935
Orien1_min,22.0,100.0,29.0,42.0,0.026120152702431183
Orien2_min,27.0,60.0,36.0,43.25,0.11321195144724557
EMG0_max,7.0,72.0,5.0,17.0,0.03908128908128908
EMG1_max,67.0,106.0,30.5,61.0,0.09027777777777778
EMG2_max,20.0,118.0,8.0,63.25,0.012826679493346158
EMG3_max,41.0,115.0,6.0,17.25,0.029629629629629624
EMG4_max,17.0,129.0,6.0,29.5,0.006321112515802781
EMG5_max,39.0,88.0,19.0,33.0,0.06428571428571428
EMG6_max,61.0,114.0,39.0,98.0,0.056584362139917695
EMG7_max,72.0,124.0,24.0,69.0,0.05840071877807727
Accl0_max,31.0,122.0,0.7703855000000001,0.935303,0.01682194616977226
Accl1_max,18.0,93.0,-0.60876475,-0.36267099999999997,0.028717627401837927
Accl2_max,21.0,87.0,0.33886675,0.4309085,0.03790570954750059
Gyr0_max,5.0,111.0,2.34375,17.765625,0.008900756564307968
Gyr1_max,91.0,120.0,22.0,54.234375,0.13359788359788358
Gyr2_max,30.0,105.0,6.625,20.546875,0.028717627401837927
Orien0_max,8.0,69.0,57.0,62.0,0.044162826420890935
Orien1_max,28.0,110.0,35.0,55.25,0.02294893861158922
Orien2_max,18.0,54.0,38.5,47.0,0.10081510081510081
EMG0_stdev,8.0,82.0,2.5765703022484,6.154564030939153,0.029629629629629624
EMG1_stdev,76.0,106.0,11.806001628440942,18.754214309817584,0.12800819252432155
EMG2_stdev,21.0,104.0,3.716551364758544,13.969938183742755,0.022203325774754343
EMG3_stdev,38.0,115.0,2.999759679380868,5.912446358915618,0.026963776963776966
EMG4_stdev,32.0,124.0,3.4001169579865342,7.748177569611831,0.01621437105308073
EMG5_stdev,37.0,103.0,6.38371474872853,13.510729247271202,0.03790570954750059
