Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,27.0,75.0,-1.357843137254902,-0.5882352941176471,0.06583278472679395
EMG1_mean,8.0,123.0,-2.931372549019607,1.2990196078431373,0.004518909899888768
EMG2_mean,14.0,116.0,-2.7450980392156863,1.5196078431372548,0.010178515502662076
EMG3_mean,0.0,127.0,-2.7401960784313726,1.093137254901961,0.00031502016129032257
EMG4_mean,13.0,60.0,-2.1715686274509802,-0.8970588235294119,0.06804435483870967
EMG5_mean,5.0,65.0,-4.490196078431373,-0.7598039215686274,0.0449497620306716
EMG6_mean,19.0,105.0,-3.1421568627450975,0.5980392156862745,0.01946607341490545
EMG7_mean,18.0,96.0,-1.9460784313725492,0.12254901960784313,0.025520620661494495
Accl0_mean,50.0,85.0,0.8833270735294119,0.9079829264705882,0.10416666666666667
Accl1_mean,17.0,54.0,-0.42866301960784314,-0.36237164215686274,0.09656196943972835
Accl2_mean,5.0,15.0,0.10751045147058824,0.14167333382352937,0.4325513196480938
Gyr0_mean,1.0,117.0,-2.8621323529411766,3.181372549019608,0.0041356492969396195
Gyr1_mean,5.0,84.0,-2.5042892156862746,-1.2987132352941175,0.02469758064516129
Gyr2_mean,0.0,89.0,-6.230085784313726,-0.19056372549019607,0.017473118279569894
Orien0_mean,5.0,17.0,51.225490196078425,53.49019607843137,0.3598014888337469
Orien1_mean,42.0,78.0,21.995098039215687,25.78921568627451,0.1002615518744551
Orien2_mean,77.0,85.0,114.27450980392157,124.04901960784314,0.5376344086021506
EMG0_min,71.0,111.0,-14.25,-7.75,0.08654602675059009
EMG1_min,22.0,77.0,-37.0,-13.0,0.05256336405529954
EMG2_min,20.0,108.0,-66.0,-16.0,0.018122508155128673
EMG3_min,18.0,70.0,-28.0,-17.0,0.05782105903834449
EMG4_min,16.0,120.0,-43.25,-9.0,0.009216589861751156
EMG5_min,1.0,31.0,-110.0,-61.0,0.127471383975026
EMG6_min,41.0,97.0,-47.0,-17.75,0.050933786078098474
EMG7_min,39.0,117.0,-36.25,-10.0,0.025520620661494495
Accl0_min,12.0,65.0,0.7191162499999999,0.8547365,0.05600358422939068
Accl1_min,2.0,39.0,-0.69995125,-0.493286,0.09656196943972835
Accl2_min,1.0,18.0,-0.076538,0.08154299999999999,0.24865591397849465
Gyr0_min,0.0,35.0,-88.578125,-26.1875,0.10416666666666667
Gyr1_min,10.0,77.0,-20.65625,-6.484375,0.03617172675521821
Gyr2_min,0.0,92.0,-39.390625,-7.109375,0.015608740894901146
Orien0_min,0.0,16.0,46.75,51.0,0.2656546489563567
Orien1_min,33.0,84.0,19.75,25.0,0.05970843672456575
Orien2_min,82.0,89.0,112.0,121.5,0.6098790322580645
EMG0_max,3.0,79.0,4.0,20.25,0.027230833682446585
EMG1_max,72.0,121.0,14.0,65.5,0.06370967741935483
EMG2_max,62.0,109.0,25.75,65.25,0.06804435483870967
EMG3_max,100.0,119.0,21.0,32.0,0.21975806451612903
EMG4_max,5.0,71.0,6.0,19.25,0.0373134328358209
EMG5_max,45.0,123.0,33.0,87.0,0.025520620661494495
EMG6_max,34.0,85.0,17.0,49.25,0.05970843672456575
EMG7_max,26.0,50.0,12.0,17.0,0.16774193548387098
Accl0_max,61.0,105.0,0.92346175,0.9597165,0.07526881720430108
Accl1_max,13.0,59.0,-0.363892,-0.26123,0.07035003431708992
Accl2_max,4.0,27.0,0.1597905,0.245605,0.17641129032258066
Gyr0_max,50.0,113.0,9.25,26.875,0.04095262096774194
Gyr1_max,24.0,78.0,2.375,8.0,0.05425219941348973
Gyr2_max,59.0,106.0,6.859375,17.875,0.06804435483870967
Orien0_max,8.0,17.0,54.0,56.0,0.4798387096774194
Orien1_max,41.0,122.0,23.0,40.75,0.0231117230527144
Orien2_max,76.0,83.0,115.75,125.25,0.6098790322580645
EMG0_stdev,14.0,70.0,2.6884641607858417,5.916491469634638,0.050933786078098474
EMG1_stdev,56.0,115.0,5.196340796092089,15.50657770178801,0.046370967741935484
EMG2_stdev,36.0,102.0,8.513942108030559,19.90294297702858,0.0373134328358209
EMG3_stdev,71.0,121.0,7.008198342150493,10.345305620346908,0.061669829222011384
EMG4_stdev,20.0,76.0,4.545589331438917,8.190469177165454,0.050933786078098474
EMG5_stdev,99.0,125.0,21.86138156043142,29.642510356541724,0.15232974910394265
EMG6_stdev,47.0,63.0,9.148786459882611,12.564863314179483,0.2656546489563567
EMG7_stdev,23.0,75.0,5.271177054043456,10.202965540767575,0.05782105903834449
Accl0_stdev,47.0,127.0,0.011281270198559047,0.06026076111451155,0.02389486260454002
Accl1_stdev,48.0,127.0,0.025126415194592053,0.11477395827577498,0.02469758064516129
Accl2_stdev,74.0,109.0,0.022668920730995634,0.035393618503528956,0.10416666666666667
Gyr0_stdev,91.0,119.0,7.492034902281739,16.614430153827286,0.13904338153503895
Gyr1_stdev,30.0,107.0,1.8196502889287718,4.427262031468985,0.02636476426799008
Gyr2_stdev,60.0,121.0,3.2349384571842092,10.884679172656629,0.04357440166493236
Orien0_stdev,64.0,113.0,0.7558917561500684,2.5155586039461006,0.06370967741935483
Orien1_stdev,34.0,127.0,0.4146797197358122,6.508417742146602,0.015013726835964311
Orien2_stdev,24.0,89.0,0.45715665170355757,1.0132896239671947,0.03848973607038124
EMG0_energy,14.0,66.0,414.0,1767.75,0.05782105903834449
EMG1_energy,54.0,114.0,1333.25,11989.25,0.0449497620306716
EMG2_energy,32.0,102.0,3646.75,20108.25,0.03293957292139937
EMG3_energy,71.0,119.0,2458.25,5701.25,0.06583278472679395
EMG4_energy,20.0,73.0,1065.5,3556.5,0.05600358422939068
EMG5_energy,100.0,125.0,24943.25,44495.75,0.1597394540942928
EMG6_energy,48.0,63.0,4460.0,8113.25,0.2847782258064516
EMG7_energy,23.0,74.0,1406.5,5255.25,0.05970843672456575
Accl0_energy,49.0,84.0,39.80075617244776,42.06198010887575,0.10416666666666667
Accl1_energy,73.0,110.0,6.777727342121249,9.420618232532998,0.09656196943972835
Accl2_energy,5.0,15.0,0.6441704739592176,1.0495265872961526,0.4325513196480938
Gyr0_energy,88.0,119.0,2805.8642578125,14553.6640625,0.12222782258064516
Gyr1_energy,30.0,106.0,286.0224609375,1240.3056640625,0.027230833682446585
Gyr2_energy,59.0,123.0,526.5380859375,7454.267578125,0.03970223325062035
Orien0_energy,5.0,17.0,133904.5,145963.5,0.3598014888337469
Orien1_energy,42.0,78.0,24693.75,33934.75,0.1002615518744551
Orien2_energy,76.0,83.0,663558.0,784846.0,0.6098790322580645
