Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,10.0,111.0,-2.6813725490196076,0.5686274509803921,0.010980392156862742
EMG1_mean,30.0,124.0,-1.6078431372549018,1.6911764705882353,0.014736842105263158
EMG2_mean,35.0,105.0,-1.3529411764705883,-0.08823529411764706,0.0332394366197183
EMG3_mean,31.0,79.0,-1.1666666666666665,-0.5441176470588236,0.06612244897959184
EMG4_mean,10.0,92.0,-2.3431372549019605,-0.1568627450980392,0.02265060240963855
EMG5_mean,7.0,79.0,-4.769607843137256,-0.08333333333333334,0.03123287671232876
EMG6_mean,11.0,98.0,-3.284313725490196,0.3872549019607843,0.019090909090909092
EMG7_mean,40.0,98.0,-1.534313725490196,0.0196078431372549,0.04813559322033899
Accl0_mean,17.0,43.0,0.3645379166666667,0.37612009313725486,0.15259259259259259
Accl1_mean,26.0,45.0,-0.7200209509803923,-0.7020072450980392,0.22
Accl2_mean,70.0,89.0,0.6347465000000001,0.650144112745098,0.22
Gyr0_mean,63.0,116.0,1.1191789215686274,1.7965686274509802,0.05629629629629629
Gyr1_mean,11.0,75.0,-2.334252450980392,-0.900122549019608,0.04
Gyr2_mean,29.0,121.0,-0.5094975490196079,0.8988970588235294,0.015913978494623657
Orien0_mean,25.0,63.0,64.91666666666667,65.86274509803921,0.09333333333333334
Orien1_mean,91.0,114.0,68.17156862745098,68.75,0.17666666666666667
Orien2_mean,63.0,92.0,168.6372549019608,170.94117647058823,0.13333333333333333
EMG0_min,19.0,91.0,-45.5,-15.0,0.03123287671232876
EMG1_min,14.0,116.0,-48.0,-7.0,0.010485436893203883
EMG2_min,73.0,129.0,-16.0,-5.0,0.0512280701754386
EMG3_min,62.0,128.0,-17.0,-5.75,0.037611940298507465
EMG4_min,11.0,71.0,-48.0,-22.0,0.04524590163934427
EMG5_min,2.0,72.0,-96.75,-43.75,0.0332394366197183
EMG6_min,56.0,128.0,-38.25,-11.75,0.03123287671232876
EMG7_min,60.0,118.0,-28.0,-10.75,0.04813559322033899
Accl0_min,10.0,61.0,0.22937000000000002,0.33068825,0.06
Accl1_min,14.0,82.0,-0.83361825,-0.74707,0.03536231884057971
Accl2_min,56.0,95.0,0.58813475,0.6120602500000001,0.09
Gyr0_min,39.0,111.0,-5.203125,-1.5,0.03123287671232876
Gyr1_min,27.0,109.0,-27.578125,-12.0625,0.02265060240963855
Gyr2_min,40.0,114.0,-16.015625,-5.40625,0.02933333333333333
Orien0_min,25.0,84.0,64.0,65.25,0.04666666666666667
Orien1_min,86.0,124.0,67.0,68.0,0.09333333333333334
Orien2_min,62.0,95.0,157.25,170.0,0.11294117647058823
EMG0_max,34.0,92.0,15.0,38.0,0.04813559322033899
EMG1_max,42.0,114.0,14.0,63.0,0.03123287671232876
EMG2_max,5.0,52.0,4.0,15.0,0.06833333333333333
EMG3_max,6.0,83.0,6.0,24.0,0.026666666666666672
EMG4_max,54.0,89.0,18.0,25.25,0.10444444444444445
EMG5_max,31.0,71.0,31.0,47.0,0.08682926829268292
EMG6_max,10.0,34.0,16.0,22.0,0.168
EMG7_max,8.0,87.0,10.0,36.0,0.025
Accl0_max,7.0,35.0,0.383789,0.411011,0.13931034482758622
Accl1_max,25.0,52.0,-0.6757810000000001,-0.6500247499999999,0.1457142857142857
Accl2_max,54.0,98.0,0.660034,0.7127682500000001,0.07555555555555556
Gyr0_max,37.0,102.0,10.734375,17.203125,0.03878787878787878
Gyr1_max,8.0,60.0,1.9375,5.25,0.05811320754716981
Gyr2_max,20.0,97.0,6.609375,17.96875,0.026666666666666672
Orien0_max,19.0,58.0,65.0,66.0,0.09
Orien1_max,76.0,123.0,69.0,73.0,0.06833333333333333
Orien2_max,61.0,97.0,169.0,172.0,0.10054054054054054
EMG0_stdev,45.0,89.0,7.249835778959549,13.241147273955626,0.07555555555555556
EMG1_stdev,39.0,107.0,5.1180338940671115,13.897258386304028,0.03536231884057971
EMG2_stdev,7.0,47.0,2.6718760874348155,5.258652616743374,0.08682926829268292
EMG3_stdev,9.0,69.0,3.2574800594043913,7.210559171778074,0.04524590163934427
EMG4_stdev,47.0,122.0,7.85574397462081,14.878994657187508,0.028421052631578944
EMG5_stdev,46.0,121.0,15.849326221567567,27.88351558481527,0.028421052631578944
EMG6_stdev,11.0,61.0,6.421899257562448,11.408696491364118,0.06196078431372548
EMG7_stdev,16.0,60.0,4.874845073406019,9.951388156189084,0.07555555555555556
Accl0_stdev,8.0,115.0,0.009486870908401676,0.03160945733220085,0.008148148148148146
Accl1_stdev,14.0,107.0,0.013410713177868905,0.02687743835128146,0.015319148936170215
Accl2_stdev,46.0,101.0,0.010768039775507667,0.01831315668380508,0.05285714285714286
Gyr0_stdev,59.0,103.0,3.2123951585338473,4.47821939784372,0.07555555555555556
Gyr1_stdev,19.0,103.0,3.039210418621967,6.181695270382253,0.021176470588235297
Gyr2_stdev,20.0,96.0,2.6577923083814396,4.945380930005532,0.027532467532467537
Orien0_stdev,40.0,101.0,0.26468008053182196,0.5509350340690864,0.04387096774193549
Orien1_stdev,28.0,119.0,0.49249157053629494,1.7884779253891938,0.01652173913043478
Orien2_stdev,13.0,96.0,0.2715243823233529,0.7304203508167272,0.021904761904761906
EMG0_energy,46.0,89.0,2710.25,9042.75,0.07818181818181819
EMG1_energy,38.0,107.0,1306.25,9791.0,0.034285714285714294
EMG2_energy,7.0,48.0,392.5,1485.25,0.0838095238095238
EMG3_energy,8.0,69.0,544.0,2644.5,0.04387096774193549
EMG4_energy,51.0,122.0,3365.5,11075.25,0.03222222222222223
EMG5_energy,52.0,121.0,13522.25,40049.0,0.034285714285714294
EMG6_energy,10.0,61.0,2070.25,6946.5,0.06
EMG7_energy,17.0,60.0,1302.25,5126.0,0.07818181818181819
Accl0_energy,18.0,43.0,6.840022105026002,7.236693641907998,0.16
Accl1_energy,84.0,103.0,25.15347183232101,26.4748447514345,0.22
Accl2_energy,70.0,88.0,20.561665403912002,21.557347129985754,0.23368421052631577
Gyr0_energy,59.0,105.0,599.3466796875,1161.5068359375,0.07063829787234042
Gyr1_energy,20.0,105.0,502.515625,2182.630859375,0.02046511627906977
Gyr2_energy,19.0,95.0,354.0078125,1229.662109375,0.027532467532467537
