Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,30.0,112.0,-1.6274509803921569,0.6519607843137255,0.017976668579078217
EMG1_mean,31.0,107.0,-1.568627450980392,0.0784313725490196,0.02185116470830756
EMG2_mean,85.0,118.0,-0.6862745098039216,0.3137254901960785,0.0896358543417367
EMG3_mean,17.0,122.0,-1.4950980392156863,0.7254901960784315,0.007187780772686432
EMG4_mean,31.0,121.0,-1.5098039215686274,1.3725490196078431,0.01360544217687075
EMG5_mean,29.0,113.0,-2.6470588235294117,1.8088235294117647,0.016806722689075626
EMG6_mean,1.0,125.0,-7.86764705882353,4.828431372549019,0.001269841269841271
EMG7_mean,21.0,122.0,-2.161764705882353,1.5245098039215685,0.008714596949891065
Accl0_mean,10.0,47.0,0.35712502450980393,0.38051944607843136,0.07685881370091896
Accl1_mean,1.0,10.0,-0.7519674852941176,-0.7360528627450982,0.38095238095238093
Accl2_mean,17.0,27.0,0.5977496029411764,0.6069096862745097,0.3434343434343434
Gyr0_mean,24.0,55.0,0.5257352941176471,1.0560661764705883,0.09722222222222222
Gyr1_mean,43.0,102.0,-1.3244485294117647,-0.6651348039215685,0.037037037037037035
Gyr2_mean,11.0,100.0,-0.9249387254901961,0.5505514705882353,0.014109347442680775
Orien0_mean,5.0,11.0,63.936274509803916,64.0,0.5578231292517007
Orien1_mean,82.0,118.0,67.82843137254902,69.15686274509804,0.07979407979407979
Orien2_mean,54.0,57.0,26.225490196078432,52.96568627450981,1.0
EMG0_min,101.0,116.0,-12.0,-9.75,0.2261904761904762
EMG1_min,18.0,85.0,-41.5,-12.0,0.028944911297852476
EMG2_min,71.0,103.0,-16.25,-10.0,0.09331409331409332
EMG3_min,70.0,112.0,-15.0,-9.0,0.06423034330011074
EMG4_min,79.0,115.0,-21.0,-13.75,0.07979407979407979
EMG5_min,67.0,127.0,-45.0,-16.75,0.035909445745511324
EMG6_min,19.0,51.0,-64.5,-40.0,0.09331409331409332
EMG7_min,41.0,87.0,-36.25,-20.0,0.056062141168524156
Accl0_min,28.0,69.0,0.28662075,0.339966,0.06651549508692366
Accl1_min,23.0,54.0,-0.8084712500000001,-0.7716065,0.09722222222222222
Accl2_min,29.0,43.0,0.567383,0.577637,0.24338624338624337
Gyr0_min,59.0,90.0,-3.265625,-1.875,0.09722222222222222
Gyr1_min,90.0,114.0,-15.625,-11.21875,0.13333333333333333
Gyr2_min,20.0,110.0,-20.828125,-5.71875,0.01360544217687075
Orien0_min,11.0,45.0,63.0,64.0,0.08616780045351474
Orien1_min,76.0,126.0,66.75,69.0,0.04917522564581388
Orien2_min,55.0,58.0,25.0,51.5,1.0
EMG0_max,26.0,58.0,13.0,22.25,0.09331409331409332
EMG1_max,56.0,103.0,17.0,47.25,0.05423280423280424
EMG2_max,30.0,92.0,10.0,30.0,0.03376165280927186
EMG3_max,23.0,49.0,8.0,11.25,0.12110523221634333
EMG4_max,10.0,114.0,9.0,33.0,0.007558578987150417
EMG5_max,29.0,126.0,30.0,92.5,0.01036605118237771
EMG6_max,94.0,126.0,62.0,115.25,0.09331409331409332
EMG7_max,37.0,117.0,18.0,60.25,0.019204389574759947
Accl0_max,11.0,41.0,0.38989225,0.41430625,0.10138248847926266
Accl1_max,0.0,5.0,-0.7220455,-0.7027585000000001,0.6560846560846562
Accl2_max,12.0,51.0,0.6236572499999999,0.65881325,0.07142857142857142
Gyr0_max,21.0,86.0,8.84375,14.953125,0.030784030784030785
Gyr1_max,5.0,41.0,1.59375,4.375,0.07979407979407979
Gyr2_max,1.0,55.0,2.203125,11.390625,0.043290043290043295
Orien0_max,3.0,8.0,64.0,64.0,0.6560846560846562
Orien1_max,67.0,109.0,69.0,71.0,0.06423034330011074
Orien2_max,48.0,51.0,27.0,29.25,1.0
EMG0_stdev,26.0,30.0,5.175027335575319,5.600188061534191,0.7936507936507936
