Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,28.0,99.0,-1.6911764705882353,-0.0196078431372549,0.03222222222222223
EMG1_mean,2.0,113.0,-6.921568627450979,0.27941176470588236,0.00642857142857143
EMG2_mean,5.0,108.0,-3.166666666666667,-0.014705882352941176,0.01
EMG3_mean,12.0,102.0,-1.7745098039215688,-0.20588235294117652,0.017142857142857147
EMG4_mean,25.0,109.0,-1.7156862745098038,0.3774509803921569,0.021176470588235297
EMG5_mean,5.0,118.0,-5.049019607843137,2.0735294117647056,0.005614035087719301
EMG6_mean,6.0,107.0,-4.083333333333333,0.9509803921568629,0.010980392156862742
EMG7_mean,14.0,115.0,-2.6715686274509802,0.8872549019607843,0.010980392156862742
Accl0_mean,2.0,39.0,0.3347694705882353,0.37444227941176456,0.0968421052631579
Accl1_mean,103.0,125.0,-0.6274293921568628,-0.5889797352941176,0.18608695652173912
Accl2_mean,120.0,124.0,0.7237237500000001,0.7566779117647058,1.0
Gyr0_mean,125.0,129.0,4.954350490196078,6.397058823529411,1.0
Gyr1_mean,10.0,120.0,-2.504901960784314,-0.132046568627451,0.006846846846846845
Gyr2_mean,4.0,39.0,-1.8216911764705883,-0.38357843137254904,0.10444444444444445
Orien0_mean,118.0,125.0,69.14215686274508,70.88235294117645,0.61
Orien1_mean,86.0,127.0,67.98039215686275,70.30882352941177,0.0838095238095238
Orien2_mean,63.0,84.0,167.69607843137257,170.67156862745097,0.19636363636363638
EMG0_min,48.0,96.0,-30.0,-13.75,0.06612244897959184
EMG1_min,2.0,29.0,-100.75,-34.0,0.1457142857142857
EMG2_min,25.0,83.0,-43.0,-13.75,0.04813559322033899
EMG3_min,16.0,95.0,-40.0,-11.0,0.025
EMG4_min,10.0,74.0,-48.0,-22.0,0.04
EMG5_min,1.0,58.0,-104.75,-48.0,0.04965517241379311
EMG6_min,17.0,58.0,-71.25,-33.75,0.0838095238095238
EMG7_min,0.0,54.0,-90.0,-31.75,0.05454545454545455
Accl0_min,0.0,8.0,-0.065918,0.21691925,0.5377777777777778
Accl1_min,3.0,46.0,-0.91564925,-0.780762,0.07818181818181819
Accl2_min,7.0,98.0,0.5091555,0.6134032500000001,0.01652173913043478
Gyr0_min,3.0,29.0,-24.296875,-8.296875,0.15259259259259259
Gyr1_min,5.0,94.0,-45.984375,-14.234375,0.017777777777777778
Gyr2_min,5.0,44.0,-49.296875,-15.546875,0.09
Orien0_min,47.0,78.0,64.0,65.0,0.1225
Orien1_min,58.0,123.0,65.0,68.0,0.03878787878787878
Orien2_min,66.0,83.0,167.0,169.0,0.2488888888888889
EMG0_max,24.0,72.0,12.75,28.0,0.06612244897959184
EMG1_max,96.0,111.0,36.25,55.25,0.285
EMG2_max,48.0,103.0,14.0,40.25,0.05285714285714286
EMG3_max,61.0,114.0,16.0,40.75,0.05629629629629629
EMG4_max,81.0,128.0,24.0,55.25,0.06833333333333333
EMG5_max,10.0,128.0,21.5,111.5,0.0036974789915966396
EMG6_max,71.0,123.0,45.0,99.0,0.05811320754716981
EMG7_max,78.0,119.0,31.0,62.0,0.0838095238095238
Accl0_max,1.0,56.0,0.3730465,0.426392,0.05285714285714286
Accl1_max,122.0,129.0,-0.543091,-0.41979975,0.61
Accl2_max,114.0,129.0,0.7801512500000001,0.918945,0.285
Gyr0_max,124.0,129.0,45.578125,91.21875,0.8266666666666667
Gyr1_max,84.0,124.0,6.75,51.484375,0.08682926829268292
Gyr2_max,79.0,122.0,14.34375,38.234375,0.07818181818181819
Orien0_max,124.0,129.0,72.0,73.0,0.8266666666666667
Orien1_max,122.0,128.0,72.75,74.0,0.7028571428571428
Orien2_max,73.0,77.0,170.75,171.0,1.0
EMG0_stdev,34.0,70.0,5.860852656688257,9.89936510768326,0.10054054054054054
EMG1_stdev,94.0,119.0,11.680866031584753,23.34013066214587,0.16
EMG2_stdev,72.0,98.0,7.757396943335793,13.127979407622979,0.15259259259259259
EMG3_stdev,56.0,90.0,5.406803992265517,10.208086890548211,0.10857142857142858
EMG4_stdev,74.0,123.0,9.407748829484376,15.482591361047142,0.064
EMG5_stdev,91.0,123.0,19.99757718184809,30.263212283858397,0.11757575757575757
EMG6_stdev,72.0,86.0,15.028605408568776,21.821718294731987,0.3066666666666667
EMG7_stdev,92.0,125.0,15.38317452000853,25.269114412368054,0.11294117647058823
Accl0_stdev,118.0,129.0,0.03615979350078874,0.06236900476946724,0.3933333333333333
Accl1_stdev,125.0,129.0,0.08073225769386486,0.1067182279672865,1.0
Accl2_stdev,120.0,128.0,0.04816852052396227,0.08226174278325202,0.5377777777777778
Gyr0_stdev,125.0,129.0,12.008945845632102,18.36978789615414,1.0
Gyr1_stdev,81.0,124.0,5.290774029433372,15.745948280441853,0.07818181818181819
Gyr2_stdev,108.0,124.0,5.697365937247322,15.645339444936141,0.26588235294117646
Orien0_stdev,125.0,129.0,2.536916332199109,3.3989839855220048,1.0
Orien1_stdev,115.0,129.0,1.5221886260836015,2.5810028231129247,0.3066666666666667
Orien2_stdev,71.0,122.0,0.5872777484985995,1.852440477239391,0.06
EMG0_energy,35.0,70.0,1784.75,4990.0,0.10444444444444445
EMG1_energy,94.0,119.0,6827.25,28866.25,0.16
EMG2_energy,78.0,100.0,3496.75,9037.25,0.18608695652173912
EMG3_energy,56.0,90.0,1515.25,5250.75,0.10857142857142858
EMG4_energy,72.0,123.0,4465.0,11994.25,0.06
EMG5_energy,88.0,123.0,20132.5,46178.0,0.10444444444444445
EMG6_energy,72.0,86.0,11421.75,23892.0,0.3066666666666667
EMG7_energy,92.0,125.0,11871.0,32392.0,0.11294117647058823
Accl0_energy,2.0,45.0,5.800715954899001,7.28163818608175,0.07818181818181819
Accl1_energy,5.0,30.0,18.21637413817625,20.499033745002503,0.16
Accl2_energy,120.0,125.0,26.81463350898774,29.472062573151,0.8266666666666667
Gyr0_energy,125.0,129.0,8498.4658203125,19287.998046875,1.0
Gyr1_energy,80.0,124.0,1499.646484375,15817.919921875,0.07555555555555556
Gyr2_energy,108.0,124.0,1635.45703125,13589.7041015625,0.26588235294117646
Orien0_energy,118.0,127.0,244134.25,256840.75,0.48
Orien1_energy,86.0,127.0,235947.0,252338.25,0.0838095238095238
Orien2_energy,62.0,83.0,1414178.25,1485587.25,0.19636363636363638
